target_hash,rank_bin_upper
fa4950e6935c64226bfba5145f77fabccede24ae4b44fa3ec6455906205c4f25,999999999
4682d8d1c3fd5be3aa3a109a32d10acbf6b2de7bcc508eaf6b48f6528eb176a6,999999999
5ced9675d01f51b7a93283f11ff5a844926e2ab61ffe986ed0de181440502617,999999999
bb702ae986ab3ed555f291d20034f2c6132188871da6ea313503c3f07e0d8a44,999999999
d31a859b0c8dffa4f0b7a9e0b11721fe4a8919d54ba1edd2355300cdc4bbbc0c,999999999
4501c5369e0dc64412d59b04c284ea859e69632d15a8419b17b88eef8cd80a0d,999999999
b67d7eb01dff5e8df44d3418257d4e62112e66176949cb43c9e86072a3209f78,999999999
c17eb7463b697c15a78f4e3a3d2577d00b487eb0476d49ddf6959173040e8a9c,999999999
cd5f3fe2697e6f4b06ac2ec3fcf7020d76c8ad41fbdc45628bd0bee2af47663b,999999999
054409dbea016ca0fd5e0744153da7538fab7347cd6c13234ab396e089ca64d3,999999999
bfb59198567a7b7c6bffda907c26e7a1872ed2021e43a4a0864c564d3eb2532a,542000
f6640b6a6cbf7cc2576e58655902a7a2b3afb7815082d5ff452a3b31ee046812,999999999
a957411e7898148ffbbb299deaff503f6aae157691e19a2a1effcfa8d535ba46,289000
1cbb5b49ee06760686ceb7947fd9e2baf7ad40444ddff0108026c278942d9668,999999999
76d02f5657ac507d3ef4bb25d0d9345dad0539670a89d14c979beb9159bc0359,999999999
8c397be8d40827a78eaeef6fc6cf9e9eea1f96a0820e09f8c8a9469dce8ed407,625000
0b07da06c6a0bb13d0b31952f090ecfd1f389d796780b7cd40f6c3a85b10fab1,999999999
86171f93fa89d98956f35f34bbed3b03ced3f708d6d2311df8a7973c661100ed,999999999
3af9788e9053d4cc0030158ba7fc1c16b94b3b5c40225c170b552ae6ce5c89b7,999999999
81e7c8c4e46828fd0c8dff76c60c5191519376d6bd5103fbff7ab82dca42df53,240000
2bafdb772011484327c1074e8b25e5c2806c4109213bcae3f23adf6b1f62c23d,794000
284b5b6c54bcc52a398e722afff5473f77b97ab80ce211f16e3892d4dabb6691,999999999
72af8bd726cfb9af24de0f6fd17dc4f25eab53b54e49377cd0c29e68f789406a,999999999
560ec7f4821f1390f3ffe401d85cfcbeacc6cefeb146e876f11ce9d4a826a554,769000
cf214be5cff4aecd034daa27712eb58b3a08371a3bf2c081e408851dddfb9320,267000
a4ac40d0f0d500fb950d1faa1c798fea2e6889b9e3f998919f52cb2e1f08e9d0,999999999
dc50ec5779334e8c9abfc3b047655f0e654adac56aafa461130e3f538a2be32b,999999999
498152052ba72d73594be784866a502a4746a84b7d21a25dc81a9c5c3f9d148f,257000
de6197c7e2f91c4cda918c873ec2ffd6caab9cc00d8c6b4967263ce28dcd7c10,705000
3cbdac5e1597398c3395452040591295dfe6d49dfe4e838fc6ea7f9c19ed096b,663000
4a6f85af0e92d659b11ac00b6d445e299fdaa5c834af74252fb933aac3cfdfc4,999999999
1ad8d13cbae02f50518640135ef6cf71c21f44d1db8a2adb9fe759d810cbb8cb,999999999
7d4bb64a8b2c525012994000084b349ca6c08cef3764f76681e6d371dcde5fa3,344000
6255bba8aa25966aa149555888f32b4096ee94f28eb0a98dea855d105ce43e37,999999999
6e5f83b063552b92e9ffbcabf526a38bb83e057eeaa493d7c4404e30c146f38d,638000
b5e9f5fcddfffaa84efbd2bb82908e0083ea5dc9ff14554630fd869459b16556,999999999
992dbf31c82d006242e73a6449358f1c5f582a3ea2676040047e9844738755cf,999999999
6c7e52791799f4f0903c8d16c87cfc0a21c9412953bc45dbcc478eb44262d586,999999999
4088df0e78931b5ad0241e5258e3fe87525f940eba309250125944d9cf11f5e8,999999999
f1caf5855e1e74fa6fc9aa9cdf8c4c14de92bcea96b10c8f231fe4af7f16e4bb,384000
f9e33df87c276cff1a3567f929f4a2357e60633ead4cdadee9754a613d5db655,999999999
421e46a94ddc6031ca08d5e2f317850c7fb300dead341bcd6142e206bb92e2af,463000
593b5f79c15a425e99f4537e9f3ad16b84a30c5c0afc1d22a33d7d08bc019d2d,999999999
a3c2c4fe4c12962514496fd1bacfd61d57964f8e03f59dc1603eba30fcc6008c,999999999
b62b11c17a346aaaeb294230adb079cacf8101050bddcec0a05ef301c2abab13,999999999
8672934de251590fd9e91bb5e121be173bcd4a46fca1a5106b81523676c98a4b,330000
524edfdf89aeccf7577298727d20f6724492e570b609e0c3c017d0997fcc24af,999999999
28d4b0674c10733e210c62d41f2fbf995aa79083923d3e95a599d0647821f575,999999999
315465cebecf82cb52c5049708b5d1d74f8924200b6e6aa5f9450346283fba9d,999999999
28d626d72acf10dd867fddd12fc67d0e4867783b12da7f80193a946ff68e1651,999999999
37311b6834bca008562ff15f65743c474b1874443d64180843b5798fdbc6b21f,999999999
f7bc158be846f9f38ca4d70827d3105c7136e087f50d55528c05836e570d25d4,999999999
dc60c5916a93a0843643cd4dbed9be1050ee3653937052e486c420a763d1612a,999999999
edea8b2f56e72d9d76f6570f10960895b9bdab356c5a1618353d2f6bca70287f,999999999
9e3d6e0fc20802c00259e314cafed75230f1a2c25f295f92a3c60881e8829679,80000
a5f9388b84049eca47f31b2684609afda48fccaed0abfd86d4cc84ec23bb00f7,999999999
98ede8779a28e23223d17aab131739d995f5ce6a8d4c7a73716f4d297ad81463,999999999
cc2982de9ea309025ab542322b8b8b5576f1b313fd38a08041933e5325f264c2,598000
9c7111205eba0b4d548605243f4dbb3b7a74250f7bfe3fe5e528a9b8221bdbe8,999999999
591ed5ebbec473a0583160e5f205519bd35dc2cb1ba4893377889e12e84a2754,999999999
292906f0835cec36b33aad0c79f8a505f9d1492bfbeeccb88242f4cbb22fab32,999999999
5a722bba09189f6658736de3607f84f6e9b8b7860c2b3943dcf279950a7550b4,999999999
0540d7602793d4c82fa8fdedafe6353abe2a3840c46c47ad8b64e859280e7de0,999999999
8620190968e123c571c17fb39e30ef9668ff68398b116a6fa2c5b8053329be19,118000
fb5f504a70fd320991b90801cc5be17e7420e6676a4ed4a2a58a2e599420f566,999999999
5b970505c474be4fb4d818b0f0eca3257f4645fc021ff52d547bb6ad062e4435,252000
a8b2c8b8f3cfdef2bc867acfc663999c165a16139b97d6348fb698d48c42b4bf,999999999
adbbb7f3ff6dc4b87677faffb8aed66726a18ee444b124c84295e22c070f0c6d,999999999
82358df05301e59b18c4343e0fabc832ee5fd9f58efed16988cd2ac151749502,999999999
7648f12d43ff18fd3747a3e86732acbe41a0f034eb390533924e407950975293,999999999
fe5565ebe78444b4b7706542e4fc5cea4ef08bc48070a23e7f745e8dcaf17d18,473000
48a6ad0261fba7f2a8ce46e0b59dd510bfc724d1563092f887a1a4ec2c332514,999999999
5936ef47ec970cc04eedfd0d8d56b96257b449a05d65206dddcf17b36ce70a84,999999999
12850f150da9856c4fcf184cfa7ea68744e57905da91e87d906f234a633ab48a,789000
d23304b68485d078adb591e2256bb0d1d2dbdc1bfde2b43734c4d913ce135028,999999999
2713d03d5f64ba58f3ca2a296d65aa942c6643f5e2b73a0ff8a70d1a951ed168,999999999
2ebc670e040636936fa2379e7f76f908371aa4b5c14beffd0ea0cdbdd1afb155,805000
0171cde3482d5b8935812f3a06950ef44e0f1be0300adcaaa998390b53a500d3,279000
6abd8e8a571f2f33a88e24e889a81a40c458a6e880ecc45617d393185afeb5a7,999999999
f5a8502bff0e2c8c26323ed9de5db8e5e54a9088e60074b8eb62e432558ae1a4,999999999
d4d22a8bc4656b80794ddcff1dfb58e4eef36060e522b90dfdb5ada66b4bb78d,999999999
5fcc16d40008e239f179401b665419f0daf3c1fcbee1debceeb0792efa1d2224,999999999
0581c609c959d3a1b0f04005394d2dda32964c130a26c7d0b8e917710b9a2ee3,999999999
5037d6a35811bcc7f71cbe876b9a57e19ab7e60c4fd461ddac56dd84623dfba0,68000
0eb461700a97eadf558bee449c7a728de203d661b6f28dca1535f50807b0a209,999999999
f0b03050d39f64e03b93cedda76a8b26cb26217fde0c42995c2a6429c4e40e17,999999999
f2859cb2d0d8d4a28281f57bbd29aa53c6a877ecbf841a63c75a39fe7c4b4bb3,999999999
b6763299f4270591a8e458b8a5a2e00b5b2d67349edcbc03c04265548190b96d,999999999
f080ce1176a3cfb02e739ae371f88a5d6916d1a01ec1bec3f2a655ef8cd9e3b3,999999999
8e0ca2fa22ed5f6998f2b5709a30a65798fe6747a61ee6e156429bfe93ce543e,999999999
67ab9b52cc3e0677810d765d8673fbfafb7c76c374541fb3d27d85e584a65df3,426000
412ae0cdd5ee5336dd187dcc3f3bbfa7c3d75ca7003f8bea6aad64e4e511cb4f,999999999
17819c7b8e231075162688db3da63f65fb3a1e34b864d3fc62daa11df2ab8a10,999999999
4db6ae945ddb5a27041dc3042fa7a8bb658083c17f52631f45fede4efabeb871,999999999
